Obligation_ID,Obligation_Name,Category,Regulation,Obligation_Type,Frequency,Deadline,Owner,Status,Control_IDs,EDN_Discretion,Penalty_Risk,Description,Notes
OBL-ATT-APR26,Semiannual Attestation — April 2026,Attestations,§170.406,Regulatory Filing,Semiannual,2026-04-30,Compliance Officer,Pending,CTRL-ATT-001,None,Certification suspension/termination,Submit attestation to ONC-ACB covering Oct 2025–Mar 2026 for §170.401-405,Must indicate Compliant/Noncompliant/N/A per Condition
OBL-ATT-OCT26,Semiannual Attestation — October 2026,Attestations,§170.406,Regulatory Filing,Semiannual,2026-10-31,Compliance Officer,Pending,CTRL-ATT-002,None,Certification suspension/termination,Submit attestation to ONC-ACB covering Apr–Sep 2026 for §170.401-405,
OBL-RWT-RES25,RWT Results — CY 2025 (g)(7)-(10),Real World Testing,§170.405(b)(2),Regulatory Filing,Annual,2026-03-15,Quality / Engineering,Submitted,CTRL-RWT-002,EDN2025.03 (only g7-g10 required),Non-conformity finding,Submit CY 2025 RWT results for (g)(7)-(g)(10) to ONC-ACB; publish on CHPL by March 15,Only API criteria results required under enforcement discretion
OBL-RWT-PLAN27,RWT Plan — CY 2027,Real World Testing,§170.405(b)(1),Regulatory Filing,Annual,2026-12-15,Quality / Engineering,TBD,CTRL-RWT-001,EDN2025.03 (no 2026 plan required),Non-conformity finding,Develop and publish RWT plan for CY 2027; CHPL publication by Dec 15,Enforcement discretion may extend; monitor for changes
OBL-INS-FHIR27,Insights — FHIR App Usage Report,Insights Condition,§170.407(a)(3)(iv),Data Reporting,Annual,2027-07-01,Engineering / Analytics,Preparing,CTRL-INS-001,EDN2025.02 (only FHIR app measure enforced),Certification action,Report FHIR API app usage data publicly per Insights Condition,Phase 1 measure; only enforced metric under enforcement discretion
OBL-CHPL-MAINT,CHPL Listing Accuracy,CHPL Maintenance,§170.523,Ongoing Compliance,Ongoing,Ongoing,Regulatory Affairs,Active,CTRL-CHPL-001,None,Public misrepresentation,"Maintain accurate CHPL listing reflecting current certification status, edition, criteria",Coordinate with ONC-ACB
OBL-CM-NOTICE26,Annual Communications Notice — CY 2026,Communications,§170.403,Customer Notification,Annual,2026-12-31,Customer Success,Pending,CTRL-CM-002,None,Certification action,Send annual written notice to all customers that communication-restricting provisions will not be enforced,Required until all legacy provisions removed from contracts
OBL-IB-COMPLY,Information Blocking Compliance,Information Blocking,§170.401; 45 CFR Part 171,Ongoing Compliance,Ongoing,Ongoing,Compliance Officer / Legal,Active,CTRL-IB-001;CTRL-IB-002;CTRL-IB-003,None,Up to $1M per violation; certification termination,Continuous compliance with information blocking prohibition; maintain exception documentation,Enforcement active March 2026; OIG investigations initiated
OBL-API-COMPLY,API Condition Compliance,API Condition,§170.404,Ongoing Compliance,Ongoing,Ongoing,Engineering / DevRel,Active,CTRL-API-001;CTRL-API-002;CTRL-API-003;CTRL-API-004,None,Certification action,"Maintain published API documentation, service base URLs, app registration SLA, fee compliance",
OBL-AS-COMPLY,Assurances Condition Compliance,Assurances,§170.402,Ongoing Compliance,Ongoing,Ongoing,Product / Legal,Active,CTRL-AS-001;CTRL-AS-002;CTRL-AS-003;CTRL-AS-004,None,Certification action,Maintain 10-year records retention; ensure unrestricted customer access to certified capabilities; provide timely updates,
OBL-HIPAA-SRA,Annual Security Risk Analysis,HIPAA,45 CFR §164.308(a)(1)(ii)(A),Security Assessment,Annual,2026-11-15,CISO,Pending,CTRL-HIPAA-001,None,OCR enforcement; CMS PI impact,Conduct and document annual comprehensive security risk analysis,Both as BA and to support customer SRA attestations
OBL-HTI1-UPDATE,HTI-1 Criteria Update Deadline,Assurances,§170.402(b)(3); EDN2025.06,Product Update,One-time,2026-03-01,Engineering,Complete,CTRL-AS-004,EDN2025.06 (extended from Jan 1 to Mar 1 2026),Certification action,"Complete all HTI-1 required criterion updates: USCDI v3, C-CDA R4.1, US Core 6.1.0, SMART 2.0, code sets",Completed Feb 28 2026
OBL-SAFER-SUPPORT,SAFER Guides Customer Support — CY 2026,SAFER Guides,CMS PI; MIPS,Customer Enablement,Annual,2026-12-31,Product / CS,In Progress,CTRL-SAFER-001,None,Customer CMS compliance risk,Provide tools/documentation supporting customer SAFER Guide self-assessments per 2025 SAFER Guides,Includes new AI safety recommendations in Organizational Responsibilities guide
OBL-BREACH-READY,Breach Notification Readiness,HIPAA,HITECH Act; 45 CFR 164 Subpart D,Ongoing Compliance,Ongoing + Annual Drill,Ongoing,CISO / Legal,Active,CTRL-HIPAA-002,None,OCR enforcement; reputation risk,Maintain breach notification procedures; 60-day notification deadline; annual tabletop exercise,
OBL-BASE-2028,Base EHR Update — (b)(3) and (b)(4),Assurances,§170.102 (HTI-4),Product Update,One-time,2028-01-01,Engineering,Planning,,None,CEHRT eligibility loss for customers,Certify (b)(3) to NCPDP SCRIPT v2023011 and (b)(4) RTPB as Base EHR requirements by Jan 1 2028,HTI-4 requirement
