controlId,controlName,oncCriterion,soc2Criteria,hipaaSection164312,hipaaNprmHardReq,frameworkTags,evidenceClass,sourceEvidence,state,compModelingNote
MVS-CTL-01,Stored credential encryption,170.315(d)(12),CC6.1|CC6.7,(a)(2)(iv),Encryption at rest mandatory,soc2|hipaa_security|frk_hc_onc_2026_core,deterministic,"d12-credential-encryption.md|central-auth.ts:1122,1094,963|oidc-client-secret-storage.ts",IN-PROGRESS,Runtime DB ciphertext proof + OIDC backfill required; no-go for signing
MVS-CTL-02,Multi-factor authentication,170.315(d)(13),CC6.1,(d),MFA mandatory for all access,soc2|hipaa_security|frk_hc_onc_2026_core,deterministic,"d13-multi-factor-authentication.md|central-auth.ts:977,539",IN-PROGRESS,MFA optional/self-service today; build tenant-wide mandatory gate (Task)
MVS-CTL-03,Audit-log generation + tamper detection,170.315(d)(2)|(d)(3)|(d)(7),CC7.2,(b)|(c)(1),Audit log + integrity required,soc2|hipaa_security|frk_hc_onc_2026_core,deterministic,audit-logger.ts|001_agent_registry.sql:446|security-model.md,IN-PROGRESS,evidence_manifests migration not applied (GAP_MATRIX #26)
MVS-CTL-04,Unique user ID + access control + emergency access,170.315(d)(1),CC6.1|CC6.2|CC6.3,(a)(1)|(a)(2)(i)|(a)(2)(ii),All addressable to required,soc2|hipaa_security|frk_hc_onc_2026_core,deterministic,security-model.md Identity|GAP_MATRIX #3,DONE,BFF RBAC enforcement IN-PROGRESS; recurring monthly access-review Task
MVS-CTL-05,Automatic logoff / session expiry,170.315(d)(5),CC6.1,(a)(2)(iii),Required,soc2|hipaa_security|frk_hc_onc_2026_core,deterministic,central-auth.ts session config,IN-PROGRESS,Runtime proof required
MVS-CTL-06,Transmission security,170.315(d)(9),CC6.6|CC6.7,(e)(1)|(e)(2)(ii),Encryption in transit mandatory,soc2|hipaa_security|frk_hc_onc_2026_core,manual_attested,security-model.md Network|GAP_MATRIX #15,DONE,NetworkPolicy/egress coverage proof recurring (GAP_MATRIX #14/#15)
MVS-CTL-07,End-user device / endpoint posture,operational,CC6.7,(a)(2)(iv)|310(d),Asset inventory required,soc2|hipaa_security,deterministic,device.prisma|fleet-policy-result.prisma|jumpcloud manifest,NOT-STARTED,Connect JumpCloud integration
MVS-CTL-08,Encryption at rest (storage/backups),170.315(d)(12),CC6.1,(a)(2)(iv)|(e)(2)(ii),Encryption at rest mandatory,soc2|hipaa_security|frk_hc_onc_2026_core,manual_attested,security-model.md Encryption|GAP_MATRIX #16,IN-PROGRESS,P0: CNPG local-path; MinIO SSE-KMS off; host LUKS unverified; healthos-cloud encryption-posture check
MVS-CTL-09,Centralized retained audit trail (7-year),170.315(d) audit series,CC7.2|CC4.1,(b),Required,soc2|hipaa_security|frk_hc_onc_2026_core,external_validated,security-model.md Audit|GAP_MATRIX #12/#34,IN-PROGRESS,App-log 7-yr cold tier NOT-STARTED; healthos-cloud logging-retention check
MVS-CTL-10,Admission control + change integrity,170.315(d) change integrity,CC6.8|CC8.1,(c)(1),Required,soc2|hipaa_security|frk_hc_onc_2026_core,deterministic,security-model.md Admission|GAP_MATRIX #18,DONE,Kyverno Audit mode; cosign signing NOT-STARTED (#18 P0)
