Decision_ID,Decision_Title,Category,Date_Raised,Date_Decided,Decision_Owner,Stakeholders,Context,Options_Considered,Decision_Made,Rationale,Related_Requirements,Related_Controls,Impact,Status,Review_Date
DEC-001,USCDI Version Strategy: v3 vs v4/v5 SVAP,Standards,2025-09-01,2025-11-15,VP Engineering,Regulatory; Product; Interop Engineering,HTI-1 requires USCDI v3 by Jan 1 2026. SVAP allows voluntary adoption of v4/v5. Question: certify to v3 baseline only or adopt newer SVAP version?,Option A: USCDI v3 only (regulatory floor); Option B: USCDI v3 + v5 SVAP (future-proofing); Option C: USCDI v4 SVAP,Option A: Certify to USCDI v3 baseline only for initial certification,Minimizes initial certification risk and timeline. v5 SVAP can be adopted post-certification. HTI-5 uncertainty makes aggressive standards adoption premature.,REQ-B01;REQ-G10;REQ-G09;REQ-A05;REQ-E01,CTRL-AS-004,Reduces testing scope by ~15%. SVAP adoption planned for Q4 2026.,Decided,2026-09-01
DEC-002,HTI-5 Response Strategy,Regulatory Strategy,2025-12-29,2026-01-20,Chief Compliance Officer,VP Engineering; Legal; Regulatory; Product,"HTI-5 proposes removing 34 of ~60 criteria. Comment period open with 6,459 comments. Question: should we plan for reduced certification scope?",Option A: Continue building to full current criteria; Option B: Pause development on HTI-5 removal candidates; Option C: Build full but prepare modular deprecation paths,Option C: Build to all current criteria but architect for modular deprecation,HTI-5 is still proposed; finalization timeline uncertain. Building full protects customer CMS eligibility. Modular architecture allows fast decommission if criteria are removed.,REQ-D01;REQ-D02;REQ-G06;REQ-G01;REQ-H01;REQ-A12;REQ-B02;REQ-C04;REQ-E03,,No scope reduction until HTI-5 is finalized. Architecture review to ensure clean module boundaries.,Decided,2026-07-01
DEC-003,EO 14168 SOGI Data Element Handling,Regulatory / Product,2025-03-21,2025-04-15,Product Director,Legal; Regulatory; Clinical Informatics; UX,"EDN2025.01 removes enforcement for sexual orientation, gender identity, sex parameter for clinical use, name to use, pronouns. Question: remove from product or retain as optional?",Option A: Remove SOGI fields entirely; Option B: Retain as optional user-configurable fields; Option C: Retain for clinical use but make non-mandatory,Option B: Retain as optional user-configurable fields,Clinical utility exists regardless of certification requirement. State laws may still require. Customer demand from health systems serving diverse populations. Low engineering cost to maintain. Easy to toggle if enforcement resumes.,REQ-A05,,No product regression. Configuration flag added for customer-level enable/disable.,Decided,2026-03-21
DEC-004,ONC-ACB Selection,Certification,2025-06-01,2025-07-15,VP Regulatory Affairs,Legal; Finance; Engineering,"Need to select ONC-ACB for initial certification. Three accredited bodies: Drummond Group, SLI Compliance, ICSA Labs.","Drummond Group (largest market share, ambulatory expertise); SLI Compliance (competitive pricing); ICSA Labs (alternative)",Drummond Group selected as ONC-ACB,Largest certification body with deepest ambulatory EHR experience. Established relationship with ONC-ATLs. Faster scheduling availability for Q1 2026.,,,Contract signed. Testing scheduled for Jan-Feb 2026.,Decided,N/A
DEC-005,Predictive DSI Transparency Approach,Product / Clinical,2025-08-01,2025-10-15,Clinical Informatics Lead,Product; Engineering; Legal; UX,"(b)(11) requires 31 source attribute fields for Predictive DSI including fairness assessment, external validation, quantitative performance measures. HealthOS has 2 predictive models (sepsis risk, readmission risk). Question: how to structure transparency documentation?",Option A: Minimal compliance (fill 31 fields per model); Option B: Rich transparency portal with interactive exploration; Option C: PDF documentation + in-product info buttons,Option C: PDF documentation with in-product contextual information buttons,Balances compliance with UX. PDF satisfies documentation requirements. In-product buttons provide clinician-accessible transparency at point of care. Lower engineering effort than Option B.,REQ-B11,CTRL-SED-001,Source attribute documentation published. In-product info buttons deployed in v4.1. Risk management documentation complete.,Decided,2026-06-01
DEC-006,Real World Testing Scope During Enforcement Discretion,Compliance,2025-07-01,2025-08-15,Quality Director,Engineering; Regulatory; VP Product,EDN2025.03 provides broad RWT discretion through Dec 31 2026. Only (g)(7)-(g)(10) results required for CY 2025. Question: should we maintain full internal RWT or scale back?,Option A: Scale back to only (g)(7)-(g)(10); Option B: Maintain full internal RWT for all criteria; Option C: (g)(7)-(g)(10) formal + lightweight internal monitoring for others,Option C: Formal RWT for (g)(7)-(g)(10) plus lightweight internal monitoring,Enforcement discretion is temporary. Maintaining some monitoring for all RWT-eligible criteria builds institutional readiness. Full formal RWT for all criteria is resource-intensive given uncertainty.,REQ-G10;REQ-G07;REQ-G09;REQ-B01;REQ-F01;REQ-H01,CTRL-RWT-001;CTRL-RWT-002,CY 2025 results for (g)(7)-(g)(10) submitted. Internal dashboards maintained for other criteria.,Decided,2026-12-31
DEC-007,Prior Authorization API Certification Timeline,Product Strategy,2025-10-15,2025-12-01,VP Product,Engineering; Regulatory; Sales,HTI-4 introduced (g)(31)-(g)(33) and (j)(20)-(j)(21) for prior authorization. Not yet required for Base EHR or CEHRT. Question: when to certify?,"Option A: Certify immediately (differentiation); Option B: Wait until market demand increases; Option C: Build capability now, certify in 2027",Option C: Build Da Vinci PA capabilities now; certify in 2027,Market demand is growing but not yet critical for ambulatory. Building now ensures readiness for Jan 1 2028 (when (b)(3)/(b)(4) join Base EHR and PA becomes more integrated). Certification cost deferred.,REQ-G31;REQ-G32;REQ-G33;REQ-J20,,Engineering sprint for Da Vinci IG implementation in Q2 2026. Certification testing planned for Q1 2027.,Decided,2027-01-15
DEC-008,QMS Standard Selection,Process,2025-04-01,2025-05-15,VP Engineering,Quality; Regulatory,(g)(4) requires identifying QMS. No specific standard mandated. Question: which QMS framework?,Option A: ISO 9001; Option B: ISO 13485 (medical device); Option C: Proprietary SDLC documentation,Option A: ISO 9001 with healthcare-specific extensions,ISO 9001 is widely recognized and covers software development. ISO 13485 is overkill for non-device EHR. Proprietary documentation accepted but ISO certification adds market credibility.,REQ-G04,,ISO 9001 certification in progress. Expected completion Q3 2026.,Decided,2026-09-30
DEC-009,Inferno v8.0 Migration Strategy,Technical,2026-01-15,2026-01-25,API Engineering Lead,QA; Regulatory; DevOps,"Inferno v8.0.0 (March 2026) removes support for US Core 3.1.1, US Core 4.0.0, SMART 1.0.0. Question: migration approach?",Option A: Direct migration to US Core 6.1.0 + SMART 2.0; Option B: Interim US Core 5.0 then 6.1.0; Option C: Parallel support for old and new,Option A: Direct migration to US Core 6.1.0 + SMART App Launch 2.0.0,US Core 6.1.0 is the regulatory floor from Jan 1 2026. No business case for interim versions. SMART 2.0 is the only supported version in Inferno v8.0.,REQ-G10,CTRL-AS-004,Migration completed Feb 15 2026. Inferno v8.0 full pass achieved Feb 20.,Decided,N/A
DEC-010,SAFER Guides — AI Safety Guidance Response,Product / Clinical Safety,2026-01-20,2026-02-15,Clinical Safety Officer,Product; Engineering; Legal; Clinical Informatics,2025 SAFER Guides include new AI-related guidance in Organizational Responsibilities guide. HealthOS uses 2 predictive DSI models. Question: how to address AI safety recommendations?,Option A: Minimal compliance (acknowledge in documentation); Option B: Implement SAFER-recommended monitoring and governance; Option C: Full AI safety program with clinical advisory board,Option B: Implement SAFER-recommended monitoring and governance framework,Demonstrates good faith compliance. Aligns with (b)(11) risk management requirements. Clinical advisory board (Option C) planned for post-certification. Monitoring framework is technically actionable now.,REQ-B11,CTRL-SAFER-001,AI monitoring dashboard for predictive DSI deployed. Governance framework documented.,Decided,2026-08-15
