findingId,title,description,category,likelihood,impact,residualLikelihood,residualImpact,treatmentStrategy,hipaaRef,sourceGap,owner,status
V-01,Encryption at rest unproven,"CNPG on local-path; MinIO SSE-KMS not enabled; host-disk LUKS unverified. At-rest protection of ePHI not demonstrable.",technology,likely,severe,unlikely,major,mitigate,164.312(a)(2)(iv),GAP_MATRIX #16,[PLACEHOLDER — Security Officer],open
V-02,7-year audit-log retention not implemented,"App-log cold tier missing; Loki 30d only; Wasabi 6y < 7y required for PHI systems.",technology,likely,major,unlikely,moderate,mitigate,164.312(b),GAP_MATRIX #12/#34,[PLACEHOLDER — Platform Lead],open
V-03,Infisical BAA unknown and deadline passed,"Infisical holds every prod secret; BAA unknown; 2026-06-15 deadline passed. Decide BAA or execute OpenBao migration.",vendor_management,likely,severe,unlikely,major,mitigate,164.308(b)(1),BAA_GAPS §1,[PLACEHOLDER — Security Lead],open
V-04,MFA optional / no tenant-wide mandatory gate,"Better Auth MFA is self-service; no enforced mandatory MFA across all access (NPRM would require it).",technology,possible,major,unlikely,moderate,mitigate,164.312(d),d13 package,[PLACEHOLDER — Security Lead],open
V-05,Runtime credential-encryption proof missing,"ONC d(12) no-go: redacted DB ciphertext proof + OIDC client-secret backfill outstanding.",technology,possible,major,unlikely,minor,mitigate,164.312(a)(2)(iv),d12 package,[PLACEHOLDER — Security Lead],open
V-06,Image signing not enabled,"cosign signing + Kyverno verifyImages not enabled; supply-chain integrity gap.",technology,possible,moderate,unlikely,minor,mitigate,164.312(c)(1),GAP_MATRIX #18,[PLACEHOLDER — Platform Lead],open
V-07,Container image scanning absent from pipeline,"Trivy config-scan present but image scan not in CI; vulnerable images may ship.",technology,possible,moderate,unlikely,minor,mitigate,164.308(a)(5)(ii)(B),GAP_MATRIX #39,[PLACEHOLDER — Eng Lead],open
V-08,Append-only evidence_manifests migration not applied,"Tamper-evidence for audit/AI evidence not yet active.",technology,possible,moderate,unlikely,minor,mitigate,164.312(c)(1),GAP_MATRIX #26,[PLACEHOLDER — Eng Lead],open
V-09,DoseSpot/Surescripts BAA dates null,"eRx PHI flows with required-but-undated BAAs (VEN-008/009).",vendor_management,possible,severe,unlikely,major,mitigate,164.502(e),VEN-008/009,[PLACEHOLDER — Compliance Lead],open
V-10,Stedi missing from vendor registry and BAA,"X12 270/271/837/835 PHI via apps/payer-gateway; no registry row; no BAA.",vendor_management,possible,severe,unlikely,major,mitigate,164.502(e),BAA_GAPS,[PLACEHOLDER — Compliance Lead],open
V-11,CloudCasa BAA open,"Catalogic publishes SOC 2 Type I only; no HIPAA claim. Gates PHI-namespace backup.",vendor_management,possible,major,unlikely,moderate,mitigate,164.308(b)(1),GAP_MATRIX #17a,[PLACEHOLDER — Security Lead],open
V-12,NetworkPolicy/egress coverage gaps,"Network segmentation/egress allowlist coverage incomplete.",technology,possible,moderate,unlikely,minor,mitigate,164.312(e)(1),GAP_MATRIX #14/#15,[PLACEHOLDER — Platform Lead],open
V-13,BFF RBAC enforcement incomplete,"Backend-for-frontend authorization enforcement not fully implemented.",technology,possible,moderate,unlikely,minor,mitigate,164.312(a)(1),GAP_MATRIX #3,[PLACEHOLDER — Eng Lead],open
V-14,IR tabletop and kill-switch drill not run,"Incident-response and kill-switch procedures untested.",resilience,possible,moderate,unlikely,minor,mitigate,164.308(a)(6),GAP_MATRIX #36,[PLACEHOLDER — Security Officer],open
