Control_ID,Control_Name,Category,Regulation,Requirement_IDs,Description,Owner,Frequency,Status,Evidence_IDs,Last_Reviewed,Next_Review,Risk_Level,Notes
CTRL-IB-001,Information Blocking Policy,Information Blocking,§170.401; 45 CFR Part 171,REQ-B10;REQ-G10;REQ-G07;REQ-G09,Maintain written policy prohibiting information blocking; map all practices to Part 171 exceptions,Compliance Officer,Ongoing + Annual Review,In Progress,EVD-IB-001;EVD-IB-002,2026-01-15,2026-07-15,Critical,Penalties up to $1M per violation; enforcement active March 2026
CTRL-IB-002,Exception Documentation,Information Blocking,45 CFR Part 171 Subparts B-D,REQ-B10;REQ-G10,Document contemporaneous justification for any practice that could interfere with EHI access/exchange/use under one of eight exceptions,Legal / Product,As needed + Quarterly Review,In Progress,EVD-IB-003,2026-02-01,2026-05-01,Critical,"Eight exceptions: Preventing Harm, Privacy, Security, Infeasibility, HIT Performance, Content/Manner, Fees, Licensing"
CTRL-IB-003,Fee Structure Review,Information Blocking,45 CFR §171.302 (Fees); §171.303 (Licensing),REQ-G10;REQ-G07;REQ-G09,Review all API and data access fees against permitted fee categories; ensure no unreasonable charges,Finance / Product,Semiannual,Not Started,,N/A,2026-04-30,High,Fees exception requires narrow justification
CTRL-AS-001,10-Year Record Retention,Assurances,§170.402(b)(1),REQ-B10;REQ-B11;REQ-G10,Retain all records demonstrating initial and ongoing compliance for 10 years from certification date,Compliance Officer,Ongoing,In Progress,EVD-AS-001,2026-01-01,2027-01-01,High,Applies to all certification evidence and compliance records
CTRL-AS-002,EHI Export Deployment,Assurances,§170.402(b)(2),REQ-B10,Certify to (b)(10) and deploy EHI Export to all customers,Engineering,One-time + Updates,Complete,EVD-AS-002;EVD-AS-003,2026-03-01,2026-12-31,High,Must be accessible without developer assistance
CTRL-AS-003,Certified Capability Access,Assurances,§170.402(a)(2)-(3),REQ-B10;REQ-G10;REQ-B01,Ensure customers can fully use all certified capabilities without contractual or technical restrictions,Legal / Product,Ongoing + Annual Audit,In Progress,EVD-AS-004,2026-02-15,2026-08-15,Medium,No contractual barriers to certified functionality
CTRL-AS-004,Update Pipeline,Assurances,§170.402(b)(3)-(4),REQ-B01;REQ-B11;REQ-G10;REQ-A05,Update certified modules to revised criteria per ONC timelines; provide updates to customers timely,Engineering,As required by rule,In Progress,EVD-AS-005,2026-03-01,2026-06-30,High,HTI-1 update deadline extended to Mar 1 2026 per EDN2025.06
CTRL-CM-001,Contract Gag Clause Audit,Communications,§170.403,,"Audit all customer contracts for provisions restricting communication about usability, interop, security, user experience",Legal,Annual + On Renewal,In Progress,EVD-CM-001,2025-12-01,2026-06-30,Medium,Must amend at next modification/renewal
CTRL-CM-002,Annual Customer Notice,Communications,§170.403 Maintenance,,Send annual written notice to all customers that contravening communication provisions will not be enforced,Customer Success,Annual (by Dec 31),Pending,,N/A,2026-12-31,Medium,Required until all legacy provisions removed
CTRL-API-001,Public API Documentation,API Condition,§170.404(a)(1)-(2),REQ-G10;REQ-G07;REQ-G09;REQ-G31;REQ-G32;REQ-G33,Publish complete business and technical API documentation via publicly accessible hyperlink,Engineering / DevRel,Ongoing,Active,EVD-API-001;EVD-API-002,2026-03-15,2026-06-15,High,"Must include supported scopes, US Core Choices/References"
CTRL-API-002,Service Base URL Publication,API Condition,§170.404(b)(2),REQ-G10,Publish organization-level FHIR endpoint directory in FHIR format,Engineering,Ongoing,Complete,EVD-API-003,2026-01-15,2026-07-15,High,Due Dec 31 2024
CTRL-API-003,App Registration SLA,API Condition,§170.404(b)(1),REQ-G10,Register apps within 5 business days of request; document registration process,DevRel / Engineering,Ongoing,Active,EVD-API-004,2026-03-01,2026-06-01,Medium,Track registration requests and completion times
CTRL-API-004,API Fee Compliance,API Condition,§170.404(a)(3),REQ-G10,Ensure API fees conform to permitted categories; retain fee records,Finance / Legal,Semiannual,In Progress,,2026-02-01,2026-08-01,High,Fees must not impede access
CTRL-RWT-001,RWT Plan Development,Real World Testing,§170.405(b)(1),REQ-G10;REQ-G07;REQ-G09;REQ-B01;REQ-B03;REQ-F01;REQ-F05;REQ-H01,"Develop annual RWT plan with methodology, care settings, metrics per criterion",Quality / Engineering,Annual (plan by Oct; CHPL by Dec 15),Deferred (EDN2025.03),EVD-RWT-001,2026-03-15,2026-10-15,Medium,No 2026 plan required under enforcement discretion; maintain internal processes
CTRL-RWT-002,RWT Results Submission,Real World Testing,§170.405(b)(2),REQ-G10;REQ-G07;REQ-G09,Submit CY 2025 RWT results to ONC-ACB; publish on CHPL by March 15,Quality / Engineering,Annual (CHPL by Mar 15),Due,EVD-RWT-002;EVD-RWT-003,2026-03-15,2027-03-15,High,Only (g)(7)-(g)(10) results required for CY 2025 under EDN2025.03
CTRL-RWT-003,Non-Conformity Reporting,Real World Testing,§170.405,REQ-G10;REQ-B01,Report any non-conformity discovered during RWT to ONC-ACB within 30 days,Quality,As discovered,Active,,N/A,Ongoing,Critical,30-day deadline is firm
CTRL-ATT-001,Semiannual Attestation (April),Attestations,§170.406,,Submit compliance attestation covering Oct-Mar period for §170.401-405,Compliance Officer,Semiannual (by Apr 30),Pending,EVD-ATT-001,N/A,2026-04-30,Critical,"Must attest Compliant, Noncompliant, or N/A for each Condition"
CTRL-ATT-002,Semiannual Attestation (October),Attestations,§170.406,,Submit compliance attestation covering Apr-Sep period for §170.401-405,Compliance Officer,Semiannual (by Oct 31),Pending,,N/A,2026-10-31,Critical,Noncompliant at any point = must select Noncompliant
CTRL-INS-001,FHIR App Usage Instrumentation,Insights Condition,§170.407(a)(3)(iv),REQ-G10,Instrument FHIR API to track app-level usage metrics; prepare for July 2027 reporting,Engineering,Ongoing (reporting Annual from Jul 2027),In Progress,EVD-INS-001,2026-01-15,2026-07-15,Medium,Only enforced Insights measure per EDN2025.02
CTRL-CHPL-001,CHPL Listing Accuracy,CHPL Maintenance,§170.523,,Monitor CHPL listing for accuracy; coordinate with ONC-ACB on updates,Regulatory Affairs,Ongoing + Quarterly Review,Active,EVD-CHPL-001,2026-03-01,2026-06-01,Medium,Ensure listing reflects current certification status and criteria
CTRL-HIPAA-001,Security Risk Analysis,HIPAA,45 CFR §164.308(a)(1)(ii)(A),,Conduct and document comprehensive security risk analysis; maintain risk register,CISO / IT Security,Annual + On Change,In Progress,EVD-HIPAA-001;EVD-HIPAA-002,2025-11-15,2026-11-15,Critical,CMS PI requires providers to attest to SRA; vendor is BA
CTRL-HIPAA-002,Breach Notification Process,HIPAA,HITECH Act; 45 CFR 164 Subpart D,,Maintain breach notification procedures; notify covered entities within 60 days of discovery,CISO / Legal,Event-driven + Annual Drill,Active,EVD-HIPAA-003,2026-01-15,2027-01-15,Critical,BA obligation; test with tabletop exercise annually
