"Requirement ID","Requirement Type","Criterion/Authority","Title","Exact Requirement Summary","Applicability","Source URL","Evidence Expected","Test Method","Owner Function","Audit Questions","Pass Conditions","Failure Risks","Frequency","Effective Date","Due Date/Trigger","Notes"
"CERT-A1","Certification Criterion","§170.315(a)(1)","CPOE — Medications","Enable a user to record, change, and access medication orders electronically.","Base EHR","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Live demonstration of order entry workflow; screenshots/recordings of medication ordering; documentation of order lifecycle (create, modify, access).","Conformance Method: documentation + visual inspection. No ONC test tool required.","Product / Engineering","Can users create, modify, and view medication orders? Is the workflow documented?","ATL tester confirms all CPOE actions for medications during visual inspection; documentation complete.","Certification failure; loss of Base EHR status; inability to generate CMS EHR Certification ID.","Initial certification + post-update re-test","2015 (2015 Edition Final Rule)","Prior to initial certification; re-test upon material changes","Base EHR criterion. Dependency: must also certify to (g)(3) SED."
"CERT-A2","Certification Criterion","§170.315(a)(2)","CPOE — Laboratory","Enable a user to record, change, and access laboratory orders electronically.","Base EHR","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Live demonstration of lab order workflow; screenshots/recordings; documentation of order lifecycle.","Conformance Method: documentation + visual inspection.","Product / Engineering","Can users create, modify, and view laboratory orders? Is the workflow documented?","ATL tester confirms all CPOE actions for lab orders during visual inspection.","Certification failure; loss of Base EHR status.","Initial certification + post-update re-test","2015 (2015 Edition Final Rule)","Prior to initial certification","Base EHR criterion. Dependency: (g)(3) SED."
"CERT-A3","Certification Criterion","§170.315(a)(3)","CPOE — Diagnostic Imaging","Enable a user to record, change, and access diagnostic imaging orders electronically.","Base EHR","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Live demonstration of imaging order workflow; screenshots/recordings.","Conformance Method: documentation + visual inspection.","Product / Engineering","Can users create, modify, and view diagnostic imaging orders?","ATL tester confirms all CPOE actions for imaging orders.","Certification failure; loss of Base EHR status.","Initial certification + post-update re-test","2015 (2015 Edition Final Rule)","Prior to initial certification","Base EHR criterion. Dependency: (g)(3) SED."
"CERT-A4","Certification Criterion","§170.315(a)(4)","Drug-Drug, Drug-Allergy Interaction Checks","Automatically and electronically check drug-drug and drug-allergy interactions when CPOE is used; enable severity level adjustment restricted to identified users or system admin.","Market-critical","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Demonstration of interaction alerts triggering during CPOE; documentation of severity adjustment controls; evidence of user restriction for severity changes.","Conformance Method: visual inspection + documentation.","Product / Engineering","Do interaction checks fire automatically during CPOE? Can only authorized users adjust severity levels?","Alerts demonstrated for known interactions; severity controls restricted to authorized users.","Patient safety risk; market disqualification; competitive disadvantage.","Initial certification + post-update re-test","2015 (2015 Edition Final Rule)","Prior to initial certification","Not in Base EHR but universally expected. Dependency: (g)(3) SED."
"CERT-A5","Certification Criterion","§170.315(a)(5)","Demographics & Observations","Record patient demographics per USCDI: race (CDC v1.2), ethnicity, preferred language, sex (SNOMED CT Male/Female per EO 14168), date of birth. USCDI v3 adds Sex Parameter for Clinical Use and Name to Use (subject to EDN2025.01 enforcement discretion).","Base EHR","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Screenshots of demographic entry forms; evidence of coded value sets (CDC race/ethnicity v1.2, SNOMED CT sex); compliance with EO 14168 adjustments.","Conformance Method: visual inspection + documentation.","Product / Engineering","Does the system record all required demographic elements with correct code sets? Are SOGI elements handled per EO 14168/EDN2025.01?","All required data elements present with correct terminologies; SOGI elements excluded or supported per enforcement discretion.","Certification failure; loss of Base EHR status; USCDI non-conformance.","Initial certification + update per HTI-1 by Mar 1, 2026","2015; revised by HTI-1 (Mar 11, 2024)","Mar 1, 2026 (extended from Jan 1, 2026 per EDN2025.06)","SOGI elements under EDN2025.01 discretion (~12 months from Mar 21, 2025). Dependency: (g)(3) SED."
"CERT-A12","Certification Criterion","§170.315(a)(12)","Family Health History","Record, change, and access family health history per HL7 Pedigree standard and SNOMED CT.","CEHRT","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Live demonstration of family history recording; coded entry evidence.","Conformance Method.","Product / Engineering","Can users record, change, and view family health history? Are entries coded to SNOMED CT?","Family health history recorded with correct coding; all CRUD operations demonstrated.","Loss of CEHRT status; customers cannot participate in MIPS PI.","Initial certification + post-update re-test","2015; HTI-1 updated code sets","Prior to initial certification; code set update by Mar 1, 2026","Required by CEHRT definition (42 CFR §414.1305). HTI-5 proposes removal eff. Jan 1, 2027."
"CERT-A14","Certification Criterion","§170.315(a)(14)","Implantable Device List","Record UDIs; parse UDI elements per FDA GUDID; access device descriptions from FDA AccessGUDID database.","Base EHR","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","UDI recording demonstration; GUDID lookup evidence; parsed UDI display.","Conformance Method: visual inspection + documentation.","Product / Engineering","Can UDIs be recorded and parsed? Does the system query AccessGUDID?","UDIs recorded; parsed elements displayed; GUDID integration functional.","Certification failure; loss of Base EHR status.","Initial certification + post-update re-test","2015 (2015 Edition Final Rule)","Prior to initial certification","Base EHR. Dependency: (g)(3) SED. HTI-5 proposes removal."
"CERT-A15","Certification Criterion","§170.315(a)(15)","Social, Psychological, and Behavioral Data","Record social, psychological, and behavioral data per USCDI data elements (SDOH assessments).","Market-critical","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","SDOH screening data recording demonstration; coded value evidence.","Conformance Method.","Product / Engineering","Can the system record SDOH assessment data per USCDI elements?","SDOH data elements recorded with correct coding.","Competitive disadvantage; value-based care readiness gap.","Initial certification + update per HTI-1","2015; HTI-1 updated code sets","Mar 1, 2026 (extended per EDN2025.06)","Increasingly expected for value-based care."
"CERT-B1","Certification Criterion","§170.315(b)(1)","Transitions of Care","Create, send, receive, and display transition of care/referral summaries as C-CDA documents (CCD, Referral Note). Must include all USCDI data elements.","Base EHR","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","C-CDA documents validated error-free by SITE C-CDA USCDI v3 Validator; send/receive workflow screenshots; USCDI data element coverage matrix.","Test Procedure: test tools (SITE C-CDA Validators) + visual inspection + ONC test data.","Product / Engineering","Can the system create, send, receive, and display valid C-CDA documents? Do documents include all USCDI v3 elements?","C-CDA validation reports error-free; USCDI v3 data element coverage complete; send/receive demonstrated.","Certification failure; loss of Base EHR status; inability to support PI HIE measures.","Initial certification + update for C-CDA R4.1 / USCDI v3","2015; updated by HTI-1 (C-CDA R4.1, USCDI v3)","Mar 1, 2026 (C-CDA R4.1 + USCDI v3, extended per EDN2025.06)","Core interoperability criterion. Dependencies: (g)(6) C-CDA performance."
"CERT-B2","Certification Criterion","§170.315(b)(2)","Clinical Information Reconciliation","Reconcile and incorporate problems, medications, and allergies from received C-CDA documents; generate a new C-CDA from reconciled data.","CEHRT","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Demonstration of reconciliation workflow; C-CDA output validated by SITE; before/after comparison.","Test Procedure: test tools (SITE C-CDA Validators) + visual inspection.","Product / Engineering","Can the system reconcile problems, meds, and allergies from incoming C-CDAs? Does it produce valid C-CDA output?","Reconciliation workflow demonstrated; output C-CDA validated.","Loss of CEHRT status; PI HIE 'Receive & Reconcile' measure unsupported.","Initial certification + post-update re-test","2015 (2015 Edition Final Rule)","Prior to initial certification","Required for PI HIE measure. Dependency: (g)(3) SED. HTI-5 proposes removal eff. Jan 1, 2027."
