Req_ID,Citation,Criterion_Name,Category,Base_EHR,CEHRT_MIPS,Market_Status,Tier,Standards_Referenced,Conformance_Method,Test_Tool,CCG_URL,Status,HTI5_Impact,EDN_Discretion,RWT_Applicable,Depends_On,Notes
REQ-A01,§170.315(a)(1),CPOE — Medications,Clinical,Yes,Yes,Essential,Tier 1,None required,Documentation + Visual Inspection,None,https://healthit.gov/test-method/computerized-provider-order-entry-cpoe-medications/,Active,Retained,None,No,REQ-G03;REQ-G04;REQ-G05,Base EHR; most ambulatory EHRs certify
REQ-A02,§170.315(a)(2),CPOE — Laboratory,Clinical,Yes,Yes,Essential,Tier 1,None required,Documentation + Visual Inspection,None,https://healthit.gov/test-method/computerized-provider-order-entry-cpoe-laboratory/,Active,Retained,None,No,REQ-G03;REQ-G04;REQ-G05,Base EHR
REQ-A03,§170.315(a)(3),CPOE — Diagnostic Imaging,Clinical,Yes,Yes,Essential,Tier 1,None required,Documentation + Visual Inspection,None,https://healthit.gov/test-method/computerized-provider-order-entry-cpoe-diagnostic-imaging/,Active,Retained,None,No,REQ-G03;REQ-G04;REQ-G05,Base EHR
REQ-A04,§170.315(a)(4),"Drug-Drug, Drug-Allergy Checks",Clinical,No,No,Essential,Tier 2,None required,Visual Inspection + Documentation,None,https://healthit.gov/test-method/drug-drug-drug-allergy-interaction-checks-cpoe/,Active,Retained,None,No,REQ-G03;REQ-G04;REQ-G05,Safety-critical; universally expected
REQ-A05,§170.315(a)(5),Demographics & Observations,Clinical,Yes,Yes,Essential,Tier 1,CDC Race & Ethnicity v1.2; SNOMED CT; §170.207(f)(1)-(3); §170.207(n)(3),Visual Inspection + Documentation,None,https://healthit.gov/test-method/demographics/,Active,Retained,EDN2025.01 (SOGI); EDN2025.06 (extended to Mar 1 2026),No,REQ-G03;REQ-G04;REQ-G05,USCDI v3 elements; EO 14168 limits SOGI
REQ-A12,§170.315(a)(12),Family Health History,Clinical,No,Yes,Essential,Tier 1,HL7 Pedigree; SNOMED CT,Conformance Method,None,https://healthit.gov/test-method/family-health-history/,Active,HTI-5 proposes removal Jan 1 2027,EDN2025.06 (extended to Mar 1 2026),No,,CEHRT definition requirement
REQ-A14,§170.315(a)(14),Implantable Device List,Clinical,Yes,Yes,Essential,Tier 1,FDA UDI; AccessGUDID,Visual Inspection + Documentation,None,https://healthit.gov/test-method/implantable-device-list/,Active,HTI-5 proposes removal,None,No,REQ-G03;REQ-G04;REQ-G05,Base EHR
REQ-A15,§170.315(a)(15),"Social, Psychological, Behavioral Data",Clinical,No,No,Important,Tier 2,USCDI v3 SDOH data elements,Conformance Method,None,https://healthit.gov/test-method/social-psychological-and-behavioral-data/,Active,Retained,EDN2025.06 (extended to Mar 1 2026),No,,Value-based care increasingly requires SDOH
REQ-B01,§170.315(b)(1),Transitions of Care,Care Coordination,Yes,Yes,Essential,Tier 1,C-CDA R2.1; Companion Guide R4.1; USCDI v3,Test Procedure + Visual Inspection,SITE C-CDA Validator,https://healthit.gov/test-method/transitions-care/,Active,Retained,EDN2025.06 (extended to Mar 1 2026),Yes,REQ-G06;REQ-G03;REQ-G04;REQ-G05,Core interoperability; PI HIE measures
REQ-B02,§170.315(b)(2),Clinical Information Reconciliation,Care Coordination,No,Yes,Essential,Tier 1,C-CDA R2.1; CCD template,Test Procedure + Visual Inspection,SITE C-CDA Validator,https://healthit.gov/test-method/clinical-information-reconciliation-and-incorporation/,Active,HTI-5 proposes removal Jan 1 2027,EDN2025.06 (extended to Mar 1 2026),Yes,REQ-B01;REQ-G03;REQ-G04;REQ-G05,PI Receive & Reconcile measure
REQ-B03,§170.315(b)(3),Electronic Prescribing,Care Coordination,No (Base EHR Jan 1 2028),Yes,Essential,Tier 1,NCPDP SCRIPT v2017071 (expires Jan 1 2028); NCPDP SCRIPT v2023011; RxNorm; NDC,Test Procedure + Test Data,eRx Testing Suite,https://healthit.gov/test-method/electronic-prescribing/,Active,Retained,None,Yes,REQ-G03;REQ-G04;REQ-G05,PI e-Prescribing measure; HTI-4 update
REQ-B04,§170.315(b)(4),Real-Time Prescription Benefit,Care Coordination,No (Base EHR Jan 1 2028),No,Important,Tier 2,NCPDP RTPB Standard IG v13; RxNorm; NDC,Test Procedure + Test Tools,RTPB Testing Tool,https://healthit.gov/test-method/real-time-prescription-benefit/,Active,Retained,None,Yes,REQ-B03,New in HTI-4; co-certify with (b)(3)
REQ-B07,§170.315(b)(7),Security Tags — Summary of Care — Send,Care Coordination,No,No,Niche,Tier 3,HL7 DS4P IG; C-CDA R2.1,Test Procedure + Test Tools,SITE C-CDA Validator,https://healthit.gov/test-method/security-tags-summary-care-send/,Active,HTI-5 proposes removal,None,No,REQ-G06,Privacy segmentation / DS4P use case
REQ-B08,§170.315(b)(8),Security Tags — Summary of Care — Receive,Care Coordination,No,No,Niche,Tier 3,HL7 DS4P IG; C-CDA R2.1,Test Procedure + Test Tools,SITE C-CDA Validator,https://healthit.gov/test-method/security-tags-summary-care-receive/,Active,HTI-5 proposes removal,None,No,REQ-G06,Privacy segmentation / DS4P use case
REQ-B09,§170.315(b)(9),Care Plan,Care Coordination,No,No,Important,Tier 2,C-CDA R2.1 Care Plan template; Companion Guide R4.1,Test Procedure + Test Tools,SITE C-CDA Validator,https://healthit.gov/test-method/care-plan/,Active,HTI-5 proposes removal,None,Yes,REQ-G06,Chronic care management
REQ-B10,§170.315(b)(10),EHI Export,Care Coordination,No,Yes (Assurances),Essential,Tier 1,None prescribed (developer-defined format),Documentation + Visual Inspection,None,https://healthit.gov/test-method/electronic-health-information-export/,Active,Retained,None,Yes,,Required by Assurances Condition §170.402
REQ-B11,§170.315(b)(11),Decision Support Interventions,Care Coordination,Yes,Yes,Essential,Tier 1,USCDI data elements (triggers); no specific interop standard,Documentation + Visual Inspection,None,https://healthit.gov/test-method/decision-support-interventions/,Active,Retained,EDN2025.06 (extended to Mar 1 2026),Yes,REQ-G03;REQ-G04;REQ-G05,Replaced (a)(9); Predictive DSI transparency required
REQ-C01,§170.315(c)(1),CQMs — Record & Export,Clinical Quality Measures,Yes,Yes,Essential,Tier 1,HL7 QRDA Cat I; QRDA Cat III; CMS IGs,Test Procedure + Test Data,Cypress,https://healthit.gov/test-method/clinical-quality-measures-cqms-record-and-export/,Active,Retained,None,Yes,,Base EHR
REQ-C02,§170.315(c)(2),CQMs — Import & Calculate,Clinical Quality Measures,No,Yes,Essential,Tier 1,HL7 QRDA,Test Procedure + Cypress Test Data,Cypress,https://healthit.gov/test-method/clinical-quality-measures-cqms-import-and-calculate/,Active,Retained,None,Yes,,CEHRT definition requirement
REQ-C03,§170.315(c)(3),CQMs — Report,Clinical Quality Measures,No,Yes,Essential,Tier 1,HL7 QRDA Cat III (ambulatory),Test Procedure,Cypress,https://healthit.gov/test-method/clinical-quality-measures-cqms-report/,Active,Retained,None,Yes,,CEHRT definition requirement
REQ-C04,§170.315(c)(4),CQMs — Filter,Clinical Quality Measures,No,Optional,Important,Tier 2,None,Test Procedure,Cypress,https://healthit.gov/test-method/clinical-quality-measures-cqms-filter/,Active,HTI-5 proposes removal Jan 1 2027,None,No,,Quality reporting flexibility
REQ-D01,§170.315(d)(1),"Authentication, Access Control, Authorization",Privacy & Security,No,No,Essential,Tier 2,None required,Attestation,None,https://healthit.gov/test-method/authentication-access-control-authorization/,Active,HTI-5 proposes removal,None,No,,HIPAA aligned; universally expected
REQ-D02,§170.315(d)(2),Auditable Events & Tamper-Resistance,Privacy & Security,No,No,Essential,Tier 2,§170.210(e),Documentation + Visual Inspection,None,https://healthit.gov/test-method/auditable-events-and-tamper-resistance/,Active,HTI-5 proposes removal,None,No,,Immutable audit log required
REQ-D03,§170.315(d)(3),Audit Report(s),Privacy & Security,No,No,Essential,Tier 2,§170.210(e),Conformance Method,None,,Active,HTI-5 proposes removal,None,No,,Sort/filter audit entries
REQ-D04,§170.315(d)(4),Amendments,Privacy & Security,No,No,Important,Tier 2,None required,Conformance Method,None,https://healthit.gov/test-method/amendments/,Active,HTI-5 proposes removal,None,No,,Supports patient requested amendments workflows
REQ-D05,§170.315(d)(5),Automatic Access Time-out,Privacy & Security,No,No,Essential,Tier 2,None,Attestation,None,,Active,HTI-5 proposes removal,None,No,,Configurable inactivity timeout
REQ-D06,§170.315(d)(6),Emergency Access,Privacy & Security,No,No,Essential,Tier 2,None required,Attestation,None,https://healthit.gov/test-method/emergency-access/,Active,HTI-5 proposes removal,None,No,,Break-glass access capability
REQ-D07,§170.315(d)(7),End-User Device Encryption,Privacy & Security,No,No,Essential,Tier 2,None,Attestation,None,,Active,HTI-5 proposes removal,None,No,,Encrypt or prevent local EHI storage
REQ-D08,§170.315(d)(8),Integrity,Privacy & Security,No,No,Essential,Tier 2,None required,Conformance Method,None,https://healthit.gov/test-method/integrity/,Active,HTI-5 proposes removal,None,No,,Protection from improper alteration or destruction
REQ-D09,§170.315(d)(9),Trusted Connection,Privacy & Security,No,No,Essential,Tier 2,TLS,Conformance Method,None,,Active,HTI-5 proposes removal,None,No,,TLS for EHI exchange
REQ-D10,§170.315(d)(10),Auditing Actions on Health Information,Privacy & Security,No,No,Important,Tier 2,§170.210(e),Conformance Method,None,https://healthit.gov/test-method/auditing-actions-health-information/,Active,HTI-5 proposes removal,None,No,,Detailed auditing of actions on health information
REQ-D11,§170.315(d)(11),Accounting of Disclosures,Privacy & Security,No,No,Important,Tier 2,None required,Conformance Method,None,https://healthit.gov/test-method/accounting-disclosures/,Active,HTI-5 proposes removal,None,No,,Tracks disclosures for accounting requests
REQ-D12,§170.315(d)(12),Encrypt Authentication Credentials,Privacy & Security,No,No,Important,Tier 2,None,Attestation,None,,Active,HTI-5 proposes removal,None,No,,Attestation-only criterion
REQ-D13,§170.315(d)(13),Multi-Factor Authentication,Privacy & Security,No,No,Important,Tier 2,None,Attestation,None,,Active,HTI-5 proposes removal,None,No,,Describe supported MFA use cases
REQ-E01,§170.315(e)(1),"View, Download, Transmit to 3rd Party",Patient Engagement,No,Yes,Essential,Tier 1,C-CDA R2.1; Direct Project; USCDI v3,Test Procedure + Visual Inspection,SITE C-CDA Validator; ETT,https://healthit.gov/test-method/view-download-and-transmit-3rd-party/,Active,Retained,EDN2025.06 (extended to Mar 1 2026),Yes,REQ-G06;REQ-H01,PI Patient Exchange measure
REQ-E03,§170.315(e)(3),Patient Health Information Capture,Patient Engagement,No,Yes,Essential,Tier 1,None,Conformance Method,None,https://healthit.gov/test-method/patient-health-information-capture/,Active,HTI-5 proposes removal Jan 1 2027,None,No,,CEHRT definition requirement
REQ-F01,§170.315(f)(1),Immunization Registries,Public Health,No,Yes,Essential,Tier 1,HL7 v2.5.1 IG for Immunization R1.5; CVX; NDC,Test Procedure + Test Data + Visual Inspection,NIST HL7 v2 Immunization Test Suite,https://healthit.gov/test-method/transmission-immunization-registries/,Active,Retained,EDN2025.06 (extended to Mar 1 2026),Yes,,Required PI measure
REQ-F02,§170.315(f)(2),Syndromic Surveillance,Public Health,No,Optional,Important,Tier 2,HL7 v2.5.1; PHIN Messaging Guide,Test Procedure + Test Tools,SITE Public Health Testing Suite,,Active,Retained,None,Yes,,PI bonus measure
REQ-F03,§170.315(f)(3),Transmission to Public Health Agencies — Reportable Laboratory Tests and Values/Results,Public Health,No,Optional,Important,Tier 2,HL7 v2.5.1 ELR IG; LOINC; SNOMED CT,Test Procedure + Test Tools,SITE Public Health Testing Suite,https://healthit.gov/test-method/transmission-public-health-agencies-reportable-laboratory-tests-and-valuesresults/,Active,Retained,EDN2025.06 (extended to Mar 1 2026),Yes,,Electronic lab reporting criterion
REQ-F04,§170.315(f)(4),Transmission to Cancer Registries,Public Health,No,Optional,Niche,Tier 3,HL7 CDA / NAACCR standards,Test Procedure + Test Tools,SITE Public Health Testing Suite,https://healthit.gov/test-method/transmission-cancer-registries/,Active,Retained,EDN2025.06 (extended to Mar 1 2026),Yes,,Specialty/public health reporting
REQ-F05,§170.315(f)(5),Electronic Case Reporting,Public Health,No,Yes,Essential,Tier 1,HL7 CDA R2 IG for eCR; RCTC,Conformance Method,None,https://healthit.gov/test-method/transmission-public-health-agencies-electronic-case-reporting/,Active,Retained,EDN2025.04 (eCR discretion through Dec 31 2026),Yes,,Required PI measure
