Evidence_ID,Evidence_Name,Category,Evidence_Type,Requirement_IDs,Control_IDs,File_Location,Description,Owner,Status,Date_Created,Date_Updated,Retention_Expiry,Notes
EVD-IB-001,Information Blocking Policy Document,Information Blocking,Policy Document,REQ-B10;REQ-G10,CTRL-IB-001,/certification/conditions/information-blocking/policy_v2.0.pdf,Written policy prohibiting information blocking with mapping to Part 171 exceptions,Compliance Officer,Current,2024-04-01,2026-01-15,2036-01-15,10-year retention per §170.402
EVD-IB-002,Information Blocking Training Records,Information Blocking,Training Record,,CTRL-IB-001,/certification/conditions/information-blocking/training_log_2026.xlsx,Annual training completion records for all staff on information blocking obligations,HR / Compliance,Current,2026-01-10,2026-01-10,2036-01-10,
EVD-IB-003,Exception Analysis Log,Information Blocking,Analysis Document,REQ-B10;REQ-G10,CTRL-IB-002,/certification/conditions/information-blocking/exception_analyses.xlsx,Contemporaneous documentation of practices mapped to Part 171 exceptions,Legal,In Progress,2025-06-01,2026-02-01,2036-02-01,Living document updated as practices change
EVD-AS-001,Records Retention Policy,Assurances,Policy Document,,CTRL-AS-001,/certification/conditions/assurances/retention_policy_v1.pdf,10-year records retention policy tied to certification dates,Compliance Officer,Current,2024-06-01,2025-12-01,2036-12-01,
EVD-AS-002,EHI Export Feature Documentation,Assurances,Technical Documentation,REQ-B10,CTRL-AS-002,/certification/b10/documentation/ehi_export_format.pdf,Publicly accessible documentation of EHI export format and data types,Engineering,Current,2023-11-15,2026-02-01,2036-02-01,URL published per §170.315(b)(10)
EVD-AS-003,EHI Export Test Results,Assurances,Test Evidence,REQ-B10,CTRL-AS-002,/certification/b10/test-results/ehi_export_demo_2026.mp4,Visual inspection recording of single-patient and population export,QA,Current,2026-01-20,2026-01-20,2036-01-20,
EVD-AS-004,Customer Contract Audit — Certified Capabilities,Assurances,Audit Report,,CTRL-AS-003,/certification/conditions/assurances/contract_audit_2026Q1.pdf,Audit of customer contracts ensuring no restrictions on certified capability access,Legal,Current,2026-02-15,2026-02-15,2036-02-15,
EVD-AS-005,HTI-1 Update Release Notes,Assurances,Release Documentation,REQ-B01;REQ-B11;REQ-G10;REQ-A05,CTRL-AS-004,/certification/conditions/assurances/hti1_update_release_v4.2.pdf,Release notes documenting HTI-1 required updates deployed to customers,Engineering,Current,2026-02-28,2026-02-28,2036-02-28,Completed before Mar 1 2026 deadline
EVD-CM-001,Contract Gag Clause Audit Report,Communications,Audit Report,,CTRL-CM-001,/certification/conditions/communications/gag_clause_audit_2025.pdf,Audit identifying and remediating contract provisions restricting customer communications,Legal,Current,2025-12-01,2025-12-01,2035-12-01,
EVD-API-001,FHIR API Developer Portal,API Condition,Technical Documentation,REQ-G10,CTRL-API-001,https://developer.healthos.io/fhir,"Publicly accessible FHIR API documentation including US Core profiles, scopes, Choices/References",DevRel,Current,2022-06-01,2026-03-01,N/A,Must remain publicly accessible
